make all
make[1]: 正在进入目录 `/home/ugeeker/dev/HPC/parallel-ray-tracing/src'
g++ -g -O2 -fopenmp -o ../bin/prt main.cpp  ../bin/attribute.o  ../bin/bvhtree.o  ../bin/camera.o  ../bin/common.o  ../bin/line.o  ../bin/plane.o  ../bin/pnt.o  ../bin/triangle.o -I/usr/include/opencv -lopencv_core -lopencv_imgproc -lopencv_highgui
make[1]:正在离开目录 `/home/ugeeker/dev/HPC/parallel-ray-tracing/src'
../bin/prt
136, 182
15, 215
152, 188
23, 209
160, 198
161, 185
31, 204
169, 195
169, 181
40, 198
177, 205
177, 191
49, 214
48, 192
185, 201
186, 188
57, 208
57, 187
193, 211
194, 198
194, 184
65, 203
65, 181
202, 221
202, 208
202, 194
74, 219
74, 197
74, 176
210, 218
210, 204
210, 191
83, 213
82, 191
82, 170
218, 228
218, 214
218, 201
219, 187
91, 207
91, 186
90, 164
226, 238
226, 224
227, 211
227, 197
227, 184
100, 202
99, 180
99, 159
234, 234
235, 221
235, 207
235, 194
108, 218
108, 196
108, 175
107, 153
243, 244
243, 231
243, 217
243, 204
244, 190
117, 212
116, 190
116, 169
116, 147
251, 241
251, 227
251, 214
252, 200
252, 186
125, 206
125, 185
124, 163
124, 142
141, 250
141, 238
142, 225
142, 211
143, 198
143, 185
14, 206
13, 183
13, 161
12, 138
157, 246
157, 236
158, 223
158, 209
159, 196
159, 183
30, 203
29, 180
29, 158
28, 140
172, 251
172, 242
173, 232
174, 221
174, 208
174, 194
175, 181
46, 200
45, 177
45, 157
44, 141
187, 247
188, 238
189, 228
189, 219
190, 206
190, 193
63, 219
62, 197
61, 174
60, 159
60, 143
202, 253
203, 243
204, 234
205, 224
205, 215
206, 204
206, 191
79, 216
78, 194
77, 176
76, 160
75, 145
74, 130
218, 249
219, 239
220, 230
220, 220
221, 211
222, 201
222, 189
95, 213
94, 193
93, 177
92, 162
91, 147
90, 131
234, 245
235, 235
235, 226
236, 216
237, 207
237, 197
238, 187
111, 210
110, 194
109, 179
108, 164
107, 148
106, 133
249, 250
250, 241
250, 231
251, 222
252, 212
253, 203
253, 193
129, 182
126, 211
126, 196
125, 181
124, 165
123, 150
122, 135
140, 242
141, 233
141, 224
142, 215
143, 206
143, 197
144, 188
145, 179
17, 212
16, 197
15, 182
14, 167
13, 151
12, 136
154, 249
156, 239
156, 230
157, 221
158, 212
158, 203
159, 194
160, 185
33, 219
33, 211
32, 197
31, 182
30, 167
29, 151
28, 138
170, 246
172, 237
172, 228
173, 219
174, 210
174, 200
175, 191
177, 182
49, 216
49, 209
48, 197
47, 182
46, 167
46, 151
44, 140
41, 131
186, 244
187, 234
188, 225
189, 216
189, 207
190, 198
192, 188
65, 221
65, 214
65, 206
65, 197
64, 182
63, 167
62, 152
59, 143
57, 134
200, 251
202, 241
203, 231
204, 222
205, 213
205, 204
207, 195
208, 185
81, 219
81, 211
81, 203
81, 195
80, 182
79, 166
77, 154
75, 145
73, 136
216, 248
217, 238
219, 228
220, 219
220, 210
222, 201
223, 192
225, 182
97, 216
97, 208
97, 200
97, 192
96, 182
95, 166
93, 157
91, 147
88, 138
232, 245
233, 235
235, 226
236, 217
237, 207
238, 198
240, 189
114, 221
113, 213
113, 205
113, 197
113, 189
112, 182
111, 168
109, 159
106, 150
104, 141
101, 132
246, 252
247, 242
249, 233
251, 223
252, 214
253, 204
129, 196
130, 185
2, 217
2, 214
2, 210
2, 207
2, 203
1, 199
127, 170
124, 161
122, 152
120, 143
117, 134
135, 249
137, 240
138, 231
140, 223
141, 214
142, 203
144, 193
145, 183
17, 217
17, 213
16, 209
16, 206
16, 202
16, 199
15, 193
12, 180
10, 166
8, 153
6, 140
150, 245
152, 236
153, 227
155, 219
156, 211
157, 201
159, 190
160, 180
31, 216
31, 212
31, 209
31, 205
30, 202
30, 200
29, 197
27, 183
25, 170
23, 157
20, 143
18, 131
160, 254
165, 241
167, 232
168, 223
169, 216
171, 208
172, 198
173, 188
46, 219
46, 215
45, 211
45, 208
45, 205
45, 203
44, 201
44, 198
42, 187
40, 174
37, 160
35, 147
32, 135
176, 250
180, 237
182, 228
183, 220
184, 212
186, 205
187, 195
188, 185
60, 218
60, 214
60, 211
60, 208
59, 205
59, 203
58, 201
58, 199
57, 190
54, 177
52, 164
50, 151
47, 140
191, 245
195, 233
197, 224
198, 216
199, 209
200, 202
202, 193
203, 182
75, 217
74, 214
74, 210
74, 208
73, 206
73, 204
73, 202
72, 200
71, 194
69, 181
67, 167
64, 155
62, 144
59, 132
207, 240
210, 228
212, 220
213, 213
214, 205
215, 198
217, 190
218, 180
89, 216
89, 213
88, 211
88, 209
88, 207
87, 204
87, 202
87, 200
86, 197
84, 184
81, 171
79, 159
76, 148
74, 136
214, 254
222, 235
225, 224
226, 217
228, 209
229, 202
230, 195
231, 187
104, 219
103, 216
103, 214
103, 211
102, 209
102, 207
102, 205
101, 203
101, 201
100, 198
99, 188
96, 175
94, 164
91, 152
88, 140
229, 250
238, 230
240, 221
241, 213
242, 206
244, 198
245, 191
246, 184
118, 218
118, 216
117, 214
117, 212
230, 55
230, 53
230, 52
230, 50
229, 48
229, 46
229, 44
229, 42
228, 41
228, 39
228, 37
228, 35
228, 33
227, 32
227, 30
245, 245
253, 226
255, 217
129, 207
130, 200
130, 193
131, 186
132, 179
131, 175
131, 173
230, 68
227, 62
223, 58
222, 55
221, 54
221, 52
221, 50
221, 48
221, 46
220, 44
220, 43
220, 41
220, 39
219, 37
220, 34
220, 31
220, 29
220, 28
220, 26
220, 25
220, 24
221, 22
132, 236
135, 219
136, 215
137, 209
138, 202
138, 195
139, 188
138, 183
231, 85
228, 76
225, 70
221, 66
218, 62
214, 58
213, 56
213, 54
213, 52
212, 50
212, 48
212, 47
212, 45
212, 42
212, 39
212, 35
212, 32
212, 30
212, 29
212, 27
212, 26
213, 24
214, 23
215, 21
136, 248
141, 224
143, 217
144, 212
145, 208
145, 204
146, 197
146, 191
228, 94
226, 84
223, 77
219, 73
216, 69
212, 66
209, 62
205, 58
204, 56
204, 54
204, 52
204, 50
204, 47
204, 44
204, 40
204, 37
204, 33
204, 31
204, 30
204, 28
205, 27
206, 25
207, 23
208, 21
208, 20
145, 236
149, 219
150, 214
151, 210
152, 205
153, 201
228, 110
226, 102
224, 93
221, 85
217, 81
214, 77
210, 73
207, 69
203, 66
200, 62
196, 58
196, 56
196, 53
196, 49
196, 46
196, 42
196, 39
196, 35
196, 32
197, 31
198, 29
198, 27
199, 25
200, 24
201, 22
202, 20
202, 18
149, 249
154, 223
157, 216
158, 211
159, 207
160, 203
223, 113
221, 106
220, 99
219, 92
215, 88
212, 84
208, 80
204, 76
201, 72
197, 68
194, 64
191, 60
190, 55
190, 51
190, 48
190, 44
190, 41
190, 37
190, 34
192, 31
192, 29
192, 27
193, 26
193, 24
194, 22
195, 21
196, 19
196, 17
225, 25
158, 235
162, 220
164, 213
165, 209
166, 204
217, 116
216, 109
215, 102
213, 97
212, 93
208, 89
205, 85
201, 81
198, 77
194, 73
192, 69
190, 64
187, 60
185, 56
185, 50
185, 47
185, 43
185, 40
185, 36
185, 33
189, 28
189, 27
190, 25
190, 24
191, 22
191, 20
191, 19
192, 17
195, 16
229, 24
227, 23
227, 21
161, 251
167, 223
170, 217
